Infinitive,порасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поро́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поро́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,порасту́
2nd Sing,порастёшь
3rd Sing,порастёт
1st Pl,порастём
2nd Pl,порастёте
3rd Pl,порасту́т
Past M,поро́с
Past F,поросла́
Past N,поросло́
Past PL,поросли́
Imp S,порасти́porastí
Imp PL,порасти́те
