Infinitive,помолча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,помолча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помолча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,помолча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,помолчу́
2nd Sing,помолчи́шь
3rd Sing,помолчи́т
1st Pl,помолчи́м
2nd Pl,помолчи́те
3rd Pl,помолча́т
Past M,помолча́л
Past F,помолча́ла
Past N,помолча́ло
Past PL,помолча́ли
Imp S,помолчи́
Imp PL,помолчи́те
