Infinitive,подержа́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подержа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поде́ржанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подержа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подержа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подержу́
2nd Sing,поде́ржишь
3rd Sing,поде́ржит
1st Pl,поде́ржим
2nd Pl,поде́ржите
3rd Pl,поде́ржат
Past M,подержа́л
Past F,подержа́ла
Past N,подержа́ло
Past PL,подержа́ли
Imp S,подержи́
Imp PL,подержи́те
