Infinitive,подключи́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подключи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подключи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подключу́сь
2nd Sing,подключи́шься
3rd Sing,подключи́тся
1st Pl,подключи́мся
2nd Pl,подключи́тесь
3rd Pl,подключа́тся
Past M,подключи́лся
Past F,подключи́лась
Past N,подключи́лось
Past PL,подключи́лись
Imp S,подключи́сь
Imp PL,подключи́тесь
