Infinitive,помча́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помча́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помча́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,помчу́сь
2nd Sing,помчи́шься
3rd Sing,помчи́тся
1st Pl,помчи́мся
2nd Pl,помчи́тесь
3rd Pl,помча́тся
Past M,помча́лся
Past F,помча́лась
Past N,помча́лось
Past PL,помча́лись
Imp S,помчи́сь
Imp PL,помчи́тесь
