Infinitive,посла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пошлю́
2nd Sing,пошлёшь
3rd Sing,пошлёт
1st Pl,пошлём
2nd Pl,пошлёте
3rd Pl,пошлю́т
Past M,посла́л
Past F,посла́ла
Past N,посла́ло
Past PL,посла́ли
Imp S,пошли́
Imp PL,пошли́те
