Infinitive,пома́лкивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пома́лкивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пома́лкивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пома́лкивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пома́лкивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пома́лкивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пома́лкиваю
2nd Sing,пома́лкиваешь
3rd Sing,пома́лкивает
1st Pl,пома́лкиваем
2nd Pl,пома́лкиваете
3rd Pl,пома́лкивают
Past M,пома́лкивал
Past F,пома́лкивала
Past N,пома́лкивало
Past PL,пома́лкивали
Imp S,пома́лкивай
Imp PL,пома́лкивайте
