Infinitive,подкрепи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подкрепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подкреплённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подкрепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подкрепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подкреплю́
2nd Sing,подкрепи́шь
3rd Sing,подкрепи́т
1st Pl,подкрепи́м
2nd Pl,подкрепи́те
3rd Pl,подкрепя́т
Past M,подкрепи́л
Past F,подкрепи́ла
Past N,подкрепи́ло
Past PL,подкрепи́ли
Imp S,подкрепи́
Imp PL,подкрепи́те
