Infinitive,порабо́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,порабо́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,порабо́тав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,порабо́тавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,порабо́таю
2nd Sing,порабо́таешь
3rd Sing,порабо́тает
1st Pl,порабо́таем
2nd Pl,порабо́таете
3rd Pl,порабо́тают
Past M,порабо́тал
Past F,порабо́тала
Past N,порабо́тало
Past PL,порабо́тали
Imp S,порабо́тай
Imp PL,порабо́тайте
