Infinitive,подда́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́дданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подда́м
2nd Sing,подда́шь
3rd Sing,подда́ст
1st Pl,поддади́м
2nd Pl,поддади́те
3rd Pl,поддаду́т
Past M,по́ддал
Past F,поддала́
Past N,по́ддало
Past PL,по́ддали
Imp S,подда́й
Imp PL,подда́йте
