Infinitive,поспа́ть
Zaliznyak Class,5b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поспа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поспа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поспа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посплю́
2nd Sing,поспи́шь
3rd Sing,поспи́т
1st Pl,поспи́м
2nd Pl,поспи́те
3rd Pl,поспя́т
Past M,поспа́л
Past F,поспала́
Past N,поспа́ло
Past PL,поспа́ли
Imp S,поспи́
Imp PL,поспи́те
