Infinitive,пообеща́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пообеща́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пообе́щанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пообеща́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пообеща́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пообеща́ю
2nd Sing,пообеща́ешь
3rd Sing,пообеща́ет
1st Pl,пообеща́ем
2nd Pl,пообеща́ете
3rd Pl,пообеща́ют
Past M,пообеща́л
Past F,пообеща́ла
Past N,пообеща́ло
Past PL,пообеща́ли
Imp S,пообеща́й
Imp PL,пообеща́йте
