Infinitive,поже́ртвовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поже́ртвовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поже́ртвованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поже́ртвовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поже́ртвовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поже́ртвую
2nd Sing,поже́ртвуешь
3rd Sing,поже́ртвует
1st Pl,поже́ртвуем
2nd Pl,поже́ртвуете
3rd Pl,поже́ртвуют
Past M,поже́ртвовал
Past F,поже́ртвовала
Past N,поже́ртвовало
Past PL,поже́ртвовали
Imp S,поже́ртвуй
Imp PL,поже́ртвуйте
