Infinitive,потону́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,потону́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потону́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,потону́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,потону́
2nd Sing,пото́нешь
3rd Sing,пото́нет
1st Pl,пото́нем
2nd Pl,пото́нете
3rd Pl,пото́нут
Past M,потону́л
Past F,потону́ла
Past N,потону́ло
Past PL,потону́ли
Imp S,потони́
Imp PL,потони́те
