Infinitive,поумне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поумне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поумне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поумне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поумне́ю
2nd Sing,поумне́ешь
3rd Sing,поумне́ет
1st Pl,поумне́ем
2nd Pl,поумне́ете
3rd Pl,поумне́ют
Past M,поумне́л
Past F,поумне́ла
Past N,поумне́ло
Past PL,поумне́ли
Imp S,поумне́й
Imp PL,поумне́йте
