Infinitive,подели́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поделённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поделю́
2nd Sing,поде́лишь
3rd Sing,поде́лит
1st Pl,поде́лим
2nd Pl,поде́лите
3rd Pl,поде́лят
Past M,подели́л
Past F,подели́ла
Past N,подели́ло
Past PL,подели́ли
Imp S,подели́
Imp PL,подели́те
