Infinitive,пости́чь△
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пости́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,пости́гнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пости́гнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,пости́гнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пости́гши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пости́гну
2nd Sing,пости́гнешь
3rd Sing,пости́гнет
1st Pl,пости́гнем
2nd Pl,пости́гнете
3rd Pl,пости́гнут
Past M,пости́г
Past F,пости́гла
Past N,пости́гло
Past PL,пости́гли
Imp S,пости́гни
Imp PL,пости́гните
