Infinitive,поборо́ться
Zaliznyak Class,10c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поборо́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поборо́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поборю́сь
2nd Sing,побо́решься
3rd Sing,побо́рется
1st Pl,побо́ремся
2nd Pl,побо́ретесь
3rd Pl,побо́рются
Past M,поборо́лся
Past F,поборо́лась
Past N,поборо́лось
Past PL,поборо́лись
Imp S,побори́сь
Imp PL,побори́тесь
