Infinitive,постаре́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,постаре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постаре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,постаре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,постаре́ю
2nd Sing,постаре́ешь
3rd Sing,постаре́ет
1st Pl,постаре́ем
2nd Pl,постаре́ете
3rd Pl,постаре́ют
Past M,постаре́л
Past F,постаре́ла
Past N,постаре́ло
Past PL,постаре́ли
Imp S,постаре́й
Imp PL,постаре́йте
