Infinitive,поту́хнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поту́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,поту́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поту́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поту́хши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поту́хну
2nd Sing,поту́хнешь
3rd Sing,поту́хнет
1st Pl,поту́хнем
2nd Pl,поту́хнете
3rd Pl,поту́хнут
Past M,поту́х
Past F,поту́хла
Past N,поту́хло
Past PL,поту́хли
Imp S,поту́хни
Imp PL,поту́хните
