Infinitive,подтя́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подтя́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подтя́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подтя́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подтя́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подтя́гиваюсь
2nd Sing,подтя́гиваешься
3rd Sing,подтя́гивается
1st Pl,подтя́гиваемся
2nd Pl,подтя́гиваетесь
3rd Pl,подтя́гиваются
Past M,подтя́гивался
Past F,подтя́гивалась
Past N,подтя́гивалось
Past PL,подтя́гивались
Imp S,подтя́гивайся
Imp PL,подтя́гивайтесь
