Infinitive,поволо́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поволо́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поволочённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поволо́кши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поволоку́
2nd Sing,поволочёшь
3rd Sing,поволочёт
1st Pl,поволочём
2nd Pl,поволочёте
3rd Pl,поволоку́т
Past M,поволо́к
Past F,поволокла́
Past N,поволокло́
Past PL,поволокли́
Imp S,поволоки́
Imp PL,поволоки́те
