Infinitive,поссо́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поссо́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поссо́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поссо́рюсь
2nd Sing,поссо́ришься
3rd Sing,поссо́рится
1st Pl,поссо́римся
2nd Pl,поссо́ритесь
3rd Pl,поссо́рятся
Past M,поссо́рился
Past F,поссо́рилась
Past N,поссо́рилось
Past PL,поссо́рились
Imp S,поссо́рься
Imp PL,поссо́рьтесь
