Infinitive,поваля́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поваля́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поваля́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поваля́юсь
2nd Sing,поваля́ешься
3rd Sing,поваля́ется
1st Pl,поваля́емся
2nd Pl,поваля́етесь
3rd Pl,поваля́ются
Past M,поваля́лся
Past F,поваля́лась
Past N,поваля́лось
Past PL,поваля́лись
Imp S,поваля́йся
Imp PL,поваля́йтесь
