Infinitive,появи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,появи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,появи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,появлю́сь
2nd Sing,поя́вишься
3rd Sing,поя́вится
1st Pl,поя́вимся
2nd Pl,поя́витесь
3rd Pl,поя́вятся
Past M,появи́лся
Past F,появи́лась
Past N,появи́лось
Past PL,появи́лись
Imp S,появи́сь
Imp PL,появи́тесь
