Infinitive,положи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,положи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,положи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,положи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,положу́
2nd Sing,поло́жишь
3rd Sing,поло́жит
1st Pl,поло́жим
2nd Pl,поло́жите
3rd Pl,поло́жат
Past M,положи́л
Past F,положи́ла
Past N,положи́ло
Past PL,положи́ли
Imp S,положи́
Imp PL,положи́те
