Infinitive,постира́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,постира́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пости́ранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,постира́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,постира́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,постира́ю
2nd Sing,постира́ешь
3rd Sing,постира́ет
1st Pl,постира́ем
2nd Pl,постира́ете
3rd Pl,постира́ют
Past M,постира́л
Past F,постира́ла
Past N,постира́ло
Past PL,постира́ли
Imp S,постира́й
Imp PL,постира́йте
