Infinitive,посме́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,посме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посме́ю
2nd Sing,посме́ешь
3rd Sing,посме́ет
1st Pl,посме́ем
2nd Pl,посме́ете
3rd Pl,посме́ют
Past M,посме́л
Past F,посме́ла
Past N,посме́ло
Past PL,посме́ли
Imp S,посме́й
Imp PL,посме́йте
