Infinitive,понижа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,понижа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,понижа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,понижа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,понижа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,понижа́юсь
2nd Sing,понижа́ешься
3rd Sing,понижа́ется
1st Pl,понижа́емся
2nd Pl,понижа́етесь
3rd Pl,понижа́ются
Past M,понижа́лся
Past F,понижа́лась
Past N,понижа́лось
Past PL,понижа́лись
Imp S,понижа́йся
Imp PL,понижа́йтесь
