Infinitive,подзыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подзыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подзыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подзыва́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подзыва́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подзыва́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подзыва́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подзыва́ю
2nd Sing,подзыва́ешь
3rd Sing,подзыва́ет
1st Pl,подзыва́ем
2nd Pl,подзыва́ете
3rd Pl,подзыва́ют
Past M,подзыва́л
Past F,подзыва́ла
Past N,подзыва́ло
Past PL,подзыва́ли
Imp S,подзыва́й
Imp PL,подзыва́йте
