Infinitive,поиска́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поиска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пои́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поиска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поиска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поищу́
2nd Sing,пои́щешь
3rd Sing,пои́щет
1st Pl,пои́щем
2nd Pl,пои́щете
3rd Pl,пои́щут
Past M,поиска́л
Past F,поиска́ла
Past N,поиска́ло
Past PL,поиска́ли
Imp S,поищи́
Imp PL,поищи́те
