Infinitive,побре́зговать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побре́зговавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побре́зговав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,побре́зговавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,побре́згую
2nd Sing,побре́згуешь
3rd Sing,побре́згует
1st Pl,побре́згуем
2nd Pl,побре́згуете
3rd Pl,побре́згуют
Past M,побре́зговал
Past F,побре́зговала
Past N,побре́зговало
Past PL,побре́зговали
Imp S,побре́згуй
Imp PL,побре́згуйте
