Infinitive,похвали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,похвали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похвали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,похвалю́сь
2nd Sing,похва́лишься
3rd Sing,похва́лится
1st Pl,похва́лимся
2nd Pl,похва́литесь
3rd Pl,похва́лятся
Past M,похвали́лся
Past F,похвали́лась
Past N,похвали́лось
Past PL,похвали́лись
Imp S,похвали́сь
Imp PL,похвали́тесь
