Infinitive,поуча́ствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поуча́ствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поуча́ствовав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поуча́ствовавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поуча́ствую
2nd Sing,поуча́ствуешь
3rd Sing,поуча́ствует
1st Pl,поуча́ствуем
2nd Pl,поуча́ствуете
3rd Pl,поуча́ствуют
Past M,поуча́ствовал
Past F,поуча́ствовала
Past N,поуча́ствовало
Past PL,поуча́ствовали
Imp S,поуча́ствуй
Imp PL,поуча́ствуйте
