Infinitive,позва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,позва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́званный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,позва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,позва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,позову́
2nd Sing,позовёшь
3rd Sing,позовёт
1st Pl,позовём
2nd Pl,позовёте
3rd Pl,позову́т
Past M,позва́л
Past F,позвала́
Past N,позва́ло
Past PL,позва́ли
Imp S,позови́
Imp PL,позови́те
