Infinitive,покрича́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,покрича́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покрича́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,покрича́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,покричу́
2nd Sing,покричи́шь
3rd Sing,покричи́т
1st Pl,покричи́м
2nd Pl,покричи́те
3rd Pl,покрича́т
Past M,покрича́л
Past F,покрича́ла
Past N,покрича́ло
Past PL,покрича́ли
Imp S,покричи́
Imp PL,покричи́те
