Infinitive,подба́дривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подба́дривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подба́дривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подба́дриваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подба́дривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подба́дривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подба́дривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подба́дриваю
2nd Sing,подба́дриваешь
3rd Sing,подба́дривает
1st Pl,подба́дриваем
2nd Pl,подба́дриваете
3rd Pl,подба́дривают
Past M,подба́дривал
Past F,подба́дривала
Past N,подба́дривало
Past PL,подба́дривали
Imp S,подба́дривай
Imp PL,подба́дривайте
