Infinitive,пожи́ть
Zaliznyak Class,16b/c[①]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пожи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пожи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поживу́
2nd Sing,поживёшь
3rd Sing,поживёт
1st Pl,поживём
2nd Pl,поживёте
3rd Pl,поживу́т
Past M,по́жил
Past F,пожила́
Past N,по́жило
Past PL,по́жили
Imp S,поживи́
Imp PL,поживи́те
