Infinitive,пора́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пора́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пора́дованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пора́довав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пора́довавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пора́дую
2nd Sing,пора́дуешь
3rd Sing,пора́дует
1st Pl,пора́дуем
2nd Pl,пора́дуете
3rd Pl,пора́дуют
Past M,пора́довал
Past F,пора́довала
Past N,пора́довало
Past PL,пора́довали
Imp S,пора́дуй
Imp PL,пора́дуйте
