Infinitive,подразни́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подразни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подразнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подразни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подразни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подразню́
2nd Sing,подра́знишь
3rd Sing,подра́знит
1st Pl,подра́зним
2nd Pl,подра́зните
3rd Pl,подра́знят
Past M,подразни́л
Past F,подразни́ла
Past N,подразни́ло
Past PL,подразни́ли
Imp S,подразни́
Imp PL,подразни́те
