Infinitive,поко́иться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поко́ящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поко́ившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поко́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поко́ившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поко́юсь
2nd Sing,поко́ишься
3rd Sing,поко́ится
1st Pl,поко́имся
2nd Pl,поко́итесь
3rd Pl,поко́ятся
Past M,поко́ился
Past F,поко́илась
Past N,поко́илось
Past PL,поко́ились
Imp S,поко́йся
Imp PL,поко́йтесь
