Infinitive,посмея́ться
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,посмея́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посмея́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,посмею́сь
2nd Sing,посмеёшься
3rd Sing,посмеётся
1st Pl,посмеёмся
2nd Pl,посмеётесь
3rd Pl,посмею́тся
Past M,посмея́лся
Past F,посмея́лась
Past N,посмея́лось
Past PL,посмея́лись
Imp S,посме́йся
Imp PL,посме́йтесь
