Infinitive,потесни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потесни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потеснённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потесни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потесни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потесню́
2nd Sing,потесни́шь
3rd Sing,потесни́т
1st Pl,потесни́м
2nd Pl,потесни́те
3rd Pl,потесня́т
Past M,потесни́л
Past F,потесни́ла
Past N,потесни́ло
Past PL,потесни́ли
Imp S,потесни́
Imp PL,потесни́те
