Infinitive,побели́ть
Zaliznyak Class,4c⑦ // 4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,побели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побелённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,побели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,побели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,побелю́
2nd Sing,побе́лишь
3rd Sing,побе́лит
1st Pl,побе́лим
2nd Pl,побе́лите
3rd Pl,побе́лят
Past M,побели́л
Past F,побели́ла
Past N,побели́ло
Past PL,побели́ли
Imp S,побели́
Imp PL,побели́те
