Infinitive,подверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подверну́сь
2nd Sing,подвернёшься
3rd Sing,подвернётся
1st Pl,подвернёмся
2nd Pl,подвернётесь
3rd Pl,подверну́тся
Past M,подверну́лся
Past F,подверну́лась
Past N,подверну́лось
Past PL,подверну́лись
Imp S,подверни́сь
Imp PL,подверни́тесь
