Infinitive,подскочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подскочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подскочи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подскочи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подскочу́
2nd Sing,подско́чишь
3rd Sing,подско́чит
1st Pl,подско́чим
2nd Pl,подско́чите
3rd Pl,подско́чат
Past M,подскочи́л
Past F,подскочи́ла
Past N,подскочи́ло
Past PL,подскочи́ли
Imp S,подскочи́
Imp PL,подскочи́те
