Infinitive,поброди́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поброди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поброди́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поброди́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поброжу́
2nd Sing,побро́дишь
3rd Sing,побро́дит
1st Pl,побро́дим
2nd Pl,побро́дите
3rd Pl,побро́дят
Past M,поброди́л
Past F,поброди́ла
Past N,поброди́ло
Past PL,поброди́ли
Imp S,поброди́
Imp PL,поброди́те
