Infinitive,положи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,положи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,положи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,положу́сь
2nd Sing,поло́жишься
3rd Sing,поло́жится
1st Pl,поло́жимся
2nd Pl,поло́житесь
3rd Pl,поло́жатся
Past M,положи́лся
Past F,положи́лась
Past N,положи́лось
Past PL,положи́лись
Imp S,положи́сь
Imp PL,положи́тесь
