Infinitive,помя́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,помя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помя́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,помя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,помя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,помну́
2nd Sing,помнёшь
3rd Sing,помнёт
1st Pl,помнём
2nd Pl,помнёте
3rd Pl,помну́т
Past M,помя́л
Past F,помя́ла
Past N,помя́ло
Past PL,помя́ли
Imp S,помни́
Imp PL,помни́те
