Infinitive,подтолкну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подтолкну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подто́лкнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подтолкну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подтолкну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подтолкну́
2nd Sing,подтолкнёшь
3rd Sing,подтолкнёт
1st Pl,подтолкнём
2nd Pl,подтолкнёте
3rd Pl,подтолкну́т
Past M,подтолкну́л
Past F,подтолкну́ла
Past N,подтолкну́ло
Past PL,подтолкну́ли
Imp S,подтолкни́
Imp PL,подтолкни́те
