Infinitive,попроси́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,попроси́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попроси́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,попрошу́сь
2nd Sing,попро́сишься
3rd Sing,попро́сится
1st Pl,попро́симся
2nd Pl,попро́ситесь
3rd Pl,попро́сятся
Past M,попроси́лся
Past F,попроси́лась
Past N,попроси́лось
Past PL,попроси́лись
Imp S,попроси́сь
Imp PL,попроси́тесь
