Infinitive,поручи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поручи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поручи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поручу́сь
2nd Sing,пору́чишься
3rd Sing,пору́чится
1st Pl,пору́чимся
2nd Pl,пору́читесь
3rd Pl,пору́чатся
Past M,поручи́лся
Past F,поручи́лась
Past N,поручи́лось
Past PL,поручи́лись
Imp S,поручи́сь
Imp PL,поручи́тесь
