Infinitive,потопта́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потопта́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потопта́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потопчу́сь
2nd Sing,пото́пчешься
3rd Sing,пото́пчется
1st Pl,пото́пчемся
2nd Pl,пото́пчетесь
3rd Pl,пото́пчутся
Past M,потопта́лся
Past F,потопта́лась
Past N,потопта́лось
Past PL,потопта́лись
Imp S,потопчи́сь
Imp PL,потопчи́тесь
