Infinitive,поменя́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поменя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поме́нянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поменя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поменя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поменя́ю
2nd Sing,поменя́ешь
3rd Sing,поменя́ет
1st Pl,поменя́ем
2nd Pl,поменя́ете
3rd Pl,поменя́ют
Past M,поменя́л
Past F,поменя́ла
Past N,поменя́ло
Past PL,поменя́ли
Imp S,поменя́й
Imp PL,поменя́йте
