Infinitive,подкова́ть
Zaliznyak Class,2b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подкова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подко́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подкова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подкова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подкую́
2nd Sing,подкуёшь
3rd Sing,подкуёт
1st Pl,подкуём
2nd Pl,подкуёте
3rd Pl,подкую́т
Past M,подкова́л
Past F,подкова́ла
Past N,подкова́ло
Past PL,подкова́ли
Imp S,подку́й
Imp PL,подку́йте
