Infinitive,пожева́ть
Zaliznyak Class,2b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пожева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожёванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пожева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пожева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пожую́
2nd Sing,пожуёшь
3rd Sing,пожуёт
1st Pl,пожуём
2nd Pl,пожуёте
3rd Pl,пожую́т
Past M,пожева́л
Past F,пожева́ла
Past N,пожева́ло
Past PL,пожева́ли
Imp S,пожу́й
Imp PL,пожу́йте
