Infinitive,помоли́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помоли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помоли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,помолю́сь
2nd Sing,помо́лишься
3rd Sing,помо́лится
1st Pl,помо́лимся
2nd Pl,помо́литесь
3rd Pl,помо́лятся
Past M,помоли́лся
Past F,помоли́лась
Past N,помоли́лось
Past PL,помоли́лись
Imp S,помоли́сь
Imp PL,помоли́тесь
