Infinitive,пове́ситься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пове́сившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пове́сившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пове́шусь
2nd Sing,пове́сишься
3rd Sing,пове́сится
1st Pl,пове́симся
2nd Pl,пове́ситесь
3rd Pl,пове́сятся
Past M,пове́сился
Past F,пове́силась
Past N,пове́силось
Past PL,пове́сились
Imp S,пове́сься
Imp PL,пове́сьтесь
