Infinitive,попыта́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,попыта́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попыта́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,попыта́юсь
2nd Sing,попыта́ешься
3rd Sing,попыта́ется
1st Pl,попыта́емся
2nd Pl,попыта́етесь
3rd Pl,попыта́ются
Past M,попыта́лся
Past F,попыта́лась
Past N,попыта́лось
Past PL,попыта́лись
Imp S,попыта́йся
Imp PL,попыта́йтесь
