Infinitive,попры́гать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попры́гавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попры́гав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,попры́гавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,попры́гаю
2nd Sing,попры́гаешь
3rd Sing,попры́гает
1st Pl,попры́гаем
2nd Pl,попры́гаете
3rd Pl,попры́гают
Past M,попры́гал
Past F,попры́гала
Past N,попры́гало
Past PL,попры́гали
Imp S,попры́гай
Imp PL,попры́гайте
