Infinitive,подкача́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подкача́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подка́чанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подкача́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подкача́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подкача́ю
2nd Sing,подкача́ешь
3rd Sing,подкача́ет
1st Pl,подкача́ем
2nd Pl,подкача́ете
3rd Pl,подкача́ют
Past M,подкача́л
Past F,подкача́ла
Past N,подкача́ло
Past PL,подкача́ли
Imp S,подкача́й
Imp PL,подкача́йте
