Infinitive,повинова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повину́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,повинова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повину́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,повинова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,повину́юсь
2nd Sing,повину́ешься
3rd Sing,повину́ется
1st Pl,повину́емся
2nd Pl,повину́етесь
3rd Pl,повину́ются
Past M,повинова́лся
Past F,повинова́лась
Past N,повинова́лось
Past PL,повинова́лись
Imp S,повину́йся
Imp PL,повину́йтесь
