Infinitive,поблагодари́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поблагодари́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поблагодарённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поблагодари́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поблагодари́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поблагодарю́
2nd Sing,поблагодари́шь
3rd Sing,поблагодари́т
1st Pl,поблагодари́м
2nd Pl,поблагодари́те
3rd Pl,поблагодаря́т
Past M,поблагодари́л
Past F,поблагодари́ла
Past N,поблагодари́ло
Past PL,поблагодари́ли
Imp S,поблагодари́
Imp PL,поблагодари́те
