Infinitive,поднима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поднима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поднима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поднима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поднима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поднима́юсь
2nd Sing,поднима́ешься
3rd Sing,поднима́ется
1st Pl,поднима́емся
2nd Pl,поднима́етесь
3rd Pl,поднима́ются
Past M,поднима́лся
Past F,поднима́лась
Past N,поднима́лось
Past PL,поднима́лись
Imp S,поднима́йся
Imp PL,поднима́йтесь
